person,number,tense,voice,mood,conjugation,ending 
second,plural,pluperfect,passive,indicative,second, erātis
third,plural,pluperfect,passive,indicative,second, erant
first,singular,pluperfect,passive,indicative,third, eram 
second,singular,pluperfect,passive,indicative,third, erās
third,singular,pluperfect,passive,indicative,third, erat
first,plural,pluperfect,passive,indicative,third, erāmus
second,plural,pluperfect,passive,indicative,third, erātis
third,plural,pluperfect,passive,indicative,third, erant
first,singular,pluperfect,passive,indicative,fourth, eram 
second,singular,pluperfect,passive,indicative,fourth, erās
third,singular,pluperfect,passive,indicative,fourth, erat
first,plural,pluperfect,passive,indicative,fourth, erāmus
second,plural,pluperfect,passive,indicative,fourth, erātis
third,plural,pluperfect,passive,indicative,fourth, erant
first,singular,pluperfect,passive,indicative,third/fourth, eram 
second,singular,pluperfect,passive,indicative,third/fourth, erās
third,singular,pluperfect,passive,indicative,third/fourth, erat
first,plural,pluperfect,passive,indicative,third/fourth, erāmus
second,plural,pluperfect,passive,indicative,third/fourth, erātis
third,plural,pluperfect,passive,indicative,third/fourth, erant
first,singular,future perfect,passive,indicative,first, erō
second,singular,future perfect,passive,indicative,first, eris
third,singular,future perfect,passive,indicative,first, erit
first,plural,future perfect,passive,indicative,first, erimus
second,plural,future perfect,passive,indicative,first, eritis
third,plural,future perfect,passive,indicative,first, erint
first,singular,future perfect,passive,indicative,second, erō
second,singular,future perfect,passive,indicative,second, eris
third,singular,future perfect,passive,indicative,second, erit
first,plural,future perfect,passive,indicative,second, erimus
second,plural,future perfect,passive,indicative,second, eritis
third,plural,future perfect,passive,indicative,second, erint
first,singular,future perfect,passive,indicative,third, erō
second,singular,future perfect,passive,indicative,third, eris
third,singular,future perfect,passive,indicative,third, erit
first,plural,future perfect,passive,indicative,third, erimus
second,plural,future perfect,passive,indicative,third, eritis
third,plural,future perfect,passive,indicative,third, erint
first,singular,future perfect,passive,indicative,fourth, erō
second,singular,future perfect,passive,indicative,fourth, eris
third,singular,future perfect,passive,indicative,fourth, erit
first,plural,future perfect,passive,indicative,fourth, erimus
second,plural,future perfect,passive,indicative,fourth, eritis
third,plural,future perfect,passive,indicative,fourth, erint
first,singular,future perfect,passive,indicative,third/fourth, erō
second,singular,future perfect,passive,indicative,third/fourth, eris
third,singular,future perfect,passive,indicative,third/fourth, erit
first,plural,future perfect,passive,indicative,third/fourth, erimus
second,plural,future perfect,passive,indicative,third/fourth, eritis
third,plural,future perfect,passive,indicative,third/fourth, erint
first,singular,present,active,subjunctive,first,em
second,singular,present,active,subjunctive,first,ēs
third,singular,present,active,subjunctive,first,et
first,plural,present,active,subjunctive,first,ēmus
second,plural,present,active,subjunctive,first,ētis
third,plural,present,active,subjunctive,first,ent
first,singular,present,active,subjunctive,second,eam
second,singular,present,active,subjunctive,second,eās
third,singular,present,active,subjunctive,second,eat
first,plural,present,active,subjunctive,second,eāmus
second,plural,present,active,subjunctive,second,eātis
third,plural,present,active,subjunctive,second,eānt
first,singular,present,active,subjunctive,third,m
second,singular,present,active,subjunctive,third,ās
third,singular,present,active,subjunctive,third,at
first,plural,present,active,subjunctive,third,āmus
second,plural,present,active,subjunctive,third,ātis
third,plural,present,active,subjunctive,third,ant
first,singular,present,active,subjunctive,fourth,iam
second,singular,present,active,subjunctive,fourth,iās
third,singular,present,active,subjunctive,fourth,iat
first,plural,present,active,subjunctive,fourth,īāmus
second,plural,present,active,subjunctive,fourth,īātis
third,plural,present,active,subjunctive,fourth,iant
first,singular,present,active,subjunctive,third/fourth,iam
second,singular,present,active,subjunctive,third/fourth,iās
third,singular,present,active,subjunctive,third/fourth,iat
first,plural,present,active,subjunctive,third/fourth,iāmus
second,plural,present,active,subjunctive,third/fourth,iātis
third,plural,present,active,subjunctive,third/fourth,iant
first,singular,pluperfect,active,subjunctive,first,āvissem
second,singular,pluperfect,active,subjunctive,first,āvissēs
third,singular,pluperfect,active,subjunctive,first,āvisset
first,plural,pluperfect,active,subjunctive,first,āvissēmus
second,plural,pluperfect,active,subjunctive,first,āvissētis
third,plural,pluperfect,active,subjunctive,first,āvissent
first,singular,pluperfect,active,subjunctive,second,uissem
second,singular,pluperfect,active,subjunctive,second,uissēs
third,singular,pluperfect,active,subjunctive,second,uisset
first,plural,pluperfect,active,subjunctive,second,uissēmus
second,plural,pluperfect,active,subjunctive,second,uissētis
third,plural,pluperfect,active,subjunctive,second,uissent
first,singular,pluperfect,active,subjunctive,third,issem
second,singular,pluperfect,active,subjunctive,third,issēs
third,singular,pluperfect,active,subjunctive,third,isset
first,plural,pluperfect,active,subjunctive,third,issēmus
second,plural,pluperfect,active,subjunctive,third,issētis
third,plural,pluperfect,active,subjunctive,third,issent
first,singular,pluperfect,active,subjunctive,fourth,īvissem
second,singular,pluperfect,active,subjunctive,fourth,īvissēs
third,singular,pluperfect,active,subjunctive,fourth,īvisset
first,plural,pluperfect,active,subjunctive,fourth,īvissēmus
second,plural,pluperfect,active,subjunctive,fourth,īvissētis
third,plural,pluperfect,active,subjunctive,fourth,īvissent
first,singular,pluperfect,active,subjunctive,third/fourth,issem
second,singular,pluperfect,active,subjunctive,third/fourth,issēs
third,singular,pluperfect,active,subjunctive,third/fourth,isset
first,plural,pluperfect,active,subjunctive,third/fourth,issēmus
second,plural,pluperfect,active,subjunctive,third/fourth,issētis
third,plural,pluperfect,active,subjunctive,third/fourth,issent
first,singular,imperfect,active,subjunctive,first,ārem
second,singular,imperfect,active,subjunctive,first,ārēs
third,singular,imperfect,active,subjunctive,first,āret
first,plural,imperfect,active,subjunctive,first,ārēmus
second,plural,imperfect,active,subjunctive,first,ārētis
third,plural,imperfect,active,subjunctive,first,ārent
first,singular,imperfect,active,subjunctive,second,ērem
second,singular,imperfect,active,subjunctive,second,ērēs
third,singular,imperfect,active,subjunctive,second,ēret
first,plural,imperfect,active,subjunctive,second,ērēmus
second,plural,imperfect,active,subjunctive,second,ērētis
third,plural,imperfect,active,subjunctive,second,ērent
first,singular,imperfect,active,subjunctive,third,erem
second,singular,imperfect,active,subjunctive,third,erēs
third,singular,imperfect,active,subjunctive,third,eret
first,plural,imperfect,active,subjunctive,third,erēmus
second,plural,imperfect,active,subjunctive,third,erētis
third,plural,imperfect,active,subjunctive,third,erent
first,singular,imperfect,active,subjunctive,fourth,īrem
second,singular,imperfect,active,subjunctive,fourth,īrēs
third,singular,imperfect,active,subjunctive,fourth,īret
first,plural,imperfect,active,subjunctive,fourth,īrēmus
second,plural,imperfect,active,subjunctive,fourth,īrētis
third,plural,imperfect,active,subjunctive,fourth,īrent
first,singular,imperfect,active,subjunctive,third/fourth,erem
second,singular,imperfect,active,subjunctive,third/fourth,erēs
third,singular,imperfect,active,subjunctive,third/fourth,eret
first,plural,imperfect,active,subjunctive,third/fourth,erēmus
second,plural,imperfect,active,subjunctive,third/fourth,erētis
third,plural,imperfect,active,subjunctive,third/fourth,erent
first,singular,perfect,active,subjunctive,first,āverim
second,singular,perfect,active,subjunctive,first,āverīs
third,singular,perfect,active,subjunctive,first,āverit
first,plural,perfect,active,subjunctive,first,āverīmus
second,plural,perfect,active,subjunctive,first,āverītis
third,plural,perfect,active,subjunctive,first,āverint
first,singular,perfect,active,subjunctive,second,uerim
second,singular,perfect,active,subjunctive,second,uerīs
third,singular,perfect,active,subjunctive,second,uerit
first,plural,perfect,active,subjunctive,second,uerīmus
second,plural,perfect,active,subjunctive,second,uerītis
third,plural,perfect,active,subjunctive,second,uerint
first,singular,perfect,active,subjunctive,third,erim
second,singular,perfect,active,subjunctive,third,erīs
third,singular,perfect,active,subjunctive,third,erit
first,plural,perfect,active,subjunctive,third,erīmus
second,plural,perfect,active,subjunctive,third,erītis
third,plural,perfect,active,subjunctive,third,erint
first,singular,perfect,active,subjunctive,fourth,īverim
second,singular,perfect,active,subjunctive,fourth,īverīs
third,singular,perfect,active,subjunctive,fourth,īverit
first,plural,perfect,active,subjunctive,fourth,īverīmus
second,plural,perfect,active,subjunctive,fourth,īverītis
third,plural,perfect,active,subjunctive,fourth,īverint
first,singular,perfect,active,subjunctive,third/fourth,erim
second,singular,perfect,active,subjunctive,third/fourth,erīs
third,singular,perfect,active,subjunctive,third/fourth,erit
first,plural,perfect,active,subjunctive,third/fourth,erīmus
second,plural,perfect,active,subjunctive,third/fourth,erītis
third,plural,perfect,active,subjunctive,third/fourth,erint
first,singular,present,passive,subjunctive,first,er
second,singular,present,passive,subjunctive,first,ēris
third,singular,present,passive,subjunctive,first,ētur
first,plural,present,passive,subjunctive,first,ēmur
second,plural,present,passive,subjunctive,first,ēminī
third,plural,present,passive,subjunctive,first,entur
first,singular,present,passive,subjunctive,second,ear
second,singular,present,passive,subjunctive,second,eāris
third,singular,present,passive,subjunctive,second,eātur
first,plural,present,passive,subjunctive,second,eāmur
second,plural,present,passive,subjunctive,second,eāminī
third,plural,present,passive,subjunctive,second,eantur
first,singular,present,passive,subjunctive,third,ar
second,singular,present,passive,subjunctive,third,āris
third,singular,present,passive,subjunctive,third,ātur
first,plural,present,passive,subjunctive,third,āmur
second,plural,present,passive,subjunctive,third,āminī
third,plural,present,passive,subjunctive,third,uantur
first,singular,present,passive,subjunctive,fourth,iar
second,singular,present,passive,subjunctive,fourth,iāris
third,singular,present,passive,subjunctive,fourth,iātur
first,plural,present,passive,subjunctive,fourth,iāmur
second,plural,present,passive,subjunctive,fourth,iāminī
third,plural,present,passive,subjunctive,fourth,iantur
first,singular,present,passive,subjunctive,third/fourth,iar
second,singular,present,passive,subjunctive,third/fourth,iāris
third,singular,present,passive,subjunctive,third/fourth,iātur
first,plural,present,passive,subjunctive,third/fourth,iāmur
second,plural,present,passive,subjunctive,third/fourth,iāminī
third,plural,present,passive,subjunctive,third/fourth,iantur
first,singular,pluperfect,passive,subjunctive,first, essem
second,singular,pluperfect,passive,subjunctive,first, essēs
third,singular,pluperfect,passive,subjunctive,first, esset 
first,plural,pluperfect,passive,subjunctive,first, essēmus
second,plural,pluperfect,passive,subjunctive,first, essētis
third,plural,pluperfect,passive,subjunctive,first, essent
first,singular,pluperfect,passive,subjunctive,second, essem
second,singular,pluperfect,passive,subjunctive,second, essēs
third,singular,pluperfect,passive,subjunctive,second, esset 
first,plural,pluperfect,passive,subjunctive,second, essēmus
second,plural,pluperfect,passive,subjunctive,second, essētis
third,plural,pluperfect,passive,subjunctive,second, essent
first,singular,pluperfect,passive,subjunctive,third, essem
second,singular,pluperfect,passive,subjunctive,third, essēs
third,singular,pluperfect,passive,subjunctive,third, esset 
first,plural,pluperfect,passive,subjunctive,third, essēmus
second,plural,pluperfect,passive,subjunctive,third, essētis
third,plural,pluperfect,passive,subjunctive,third, essent
first,singular,pluperfect,passive,subjunctive,fourth, essem
second,singular,pluperfect,passive,subjunctive,fourth, essēs
third,singular,pluperfect,passive,subjunctive,fourth, esset 
first,plural,pluperfect,passive,subjunctive,fourth, essēmus
second,plural,pluperfect,passive,subjunctive,fourth, essētis
third,plural,pluperfect,passive,subjunctive,fourth, essent
first,singular,pluperfect,passive,subjunctive,third/fourth, essem
second,singular,pluperfect,passive,subjunctive,third/fourth, essēs
third,singular,pluperfect,passive,subjunctive,third/fourth, esset 
first,plural,pluperfect,passive,subjunctive,third/fourth, essēmus
second,plural,pluperfect,passive,subjunctive,third/fourth, essētis
third,plural,pluperfect,passive,subjunctive,third/fourth, essent
first,singular,imperfect,passive,subjunctive,first,ārer
second,singular,imperfect,passive,subjunctive,first,ārēris
third,singular,imperfect,passive,subjunctive,first,ārētur
first,plural,imperfect,passive,subjunctive,first,ārēmur
second,plural,imperfect,passive,subjunctive,first,ārēminī
third,plural,imperfect,passive,subjunctive,first,ārentur
first,singular,imperfect,passive,subjunctive,second,ērer
second,singular,imperfect,passive,subjunctive,second,ērēris
third,singular,imperfect,passive,subjunctive,second,ērētur
first,plural,imperfect,passive,subjunctive,second,ērēmur
second,plural,imperfect,passive,subjunctive,second,ērēminī
third,plural,imperfect,passive,subjunctive,second,ērentur
first,singular,imperfect,passive,subjunctive,third,erer
second,singular,imperfect,passive,subjunctive,third,erēris
third,singular,imperfect,passive,subjunctive,third,erētur
first,plural,imperfect,passive,subjunctive,third,erēmur
second,plural,imperfect,passive,subjunctive,third,erēminī
third,plural,imperfect,passive,subjunctive,third,erentur
first,singular,imperfect,passive,subjunctive,fourth,īrer
second,singular,imperfect,passive,subjunctive,fourth,īrēris
third,singular,imperfect,passive,subjunctive,fourth,īrētur
first,plural,imperfect,passive,subjunctive,fourth,īrēmur
second,plural,imperfect,passive,subjunctive,fourth,īrēminī
third,plural,imperfect,passive,subjunctive,fourth,īrentur
first,singular,imperfect,passive,subjunctive,third/fourth,erer
second,singular,imperfect,passive,subjunctive,third/fourth,erēris
third,singular,imperfect,passive,subjunctive,third/fourth,erētur
first,plural,imperfect,passive,subjunctive,third/fourth,erēmur
second,plural,imperfect,passive,subjunctive,third/fourth,erēminī
third,plural,imperfect,passive,subjunctive,third/fourth,erentur
first,singular,perfect,passive,subjunctive,first, sim
second,singular,perfect,passive,subjunctive,first, sīs
third,singular,perfect,passive,subjunctive,first, sit
first,plural,perfect,passive,subjunctive,first, sīmus 
second,plural,perfect,passive,subjunctive,first, sītis
third,plural,perfect,passive,subjunctive,first, sint
first,singular,perfect,passive,subjunctive,second, sim
second,singular,perfect,passive,subjunctive,second, sīs
third,singular,perfect,passive,subjunctive,second, sit
first,plural,perfect,passive,subjunctive,second, sīmus 
second,plural,perfect,passive,subjunctive,second, sītis
third,plural,perfect,passive,subjunctive,second, sint
first,singular,perfect,passive,subjunctive,third, sim
second,singular,perfect,passive,subjunctive,third, sīs
third,singular,perfect,passive,subjunctive,third, sit
first,plural,perfect,passive,subjunctive,third, sīmus 
second,plural,perfect,passive,subjunctive,third, sītis
third,plural,perfect,passive,subjunctive,third, sint
first,singular,perfect,passive,subjunctive,fourth, sim
second,singular,perfect,passive,subjunctive,fourth, sīs
third,singular,perfect,passive,subjunctive,fourth, sit
first,plural,perfect,passive,subjunctive,fourth, sīmus 
second,plural,perfect,passive,subjunctive,fourth, sītis
third,plural,perfect,passive,subjunctive,fourth, sint
first,singular,perfect,passive,subjunctive,third/fourth, sim
second,singular,perfect,passive,subjunctive,third/fourth, sīs
third,singular,perfect,passive,subjunctive,third/fourth, sit
first,plural,perfect,passive,subjunctive,third/fourth, sīmus 
second,plural,perfect,passive,subjunctive,third/fourth, sītis
third,plural,perfect,passive,subjunctive,third/fourth, sint
second,singular,present,active,imperative ,first,ā
second,plural,present,active,imperative ,first,āte
second,singular,present,active,imperative ,second,ē
second,plural,present,active,imperative ,second,ēte
second,singular,present,active,imperative ,third,e
second,plural,present,active,imperative ,third,ete
second,singular,present,active,imperative ,fourth,ī
second,plural,present,active,imperative ,fourth,īte
second,singular,present,active,imperative ,third/fourth,e
second,plural,present,active,imperative ,third/fourth,ete